label,start_iso,end_iso
NFP 2025-01-10,2025-01-10T13:25:00Z,2025-01-10T13:45:00Z
FOMC 2025-01-29,2025-01-29T18:55:00Z,2025-01-29T19:15:00Z
NFP 2025-02-07,2025-02-07T13:25:00Z,2025-02-07T13:45:00Z
CPI 2025-02-12,2025-02-12T13:25:00Z,2025-02-12T13:45:00Z
NFP 2025-03-07,2025-03-07T13:25:00Z,2025-03-07T13:45:00Z
ECB 2025-03-06,2025-03-06T12:40:00Z,2025-03-06T13:10:00Z
FOMC 2025-03-19,2025-03-19T18:55:00Z,2025-03-19T19:15:00Z
CPI 2025-03-12,2025-03-12T13:25:00Z,2025-03-12T13:45:00Z
NFP 2025-04-04,2025-04-04T13:25:00Z,2025-04-04T13:45:00Z
CPI 2025-04-10,2025-04-10T13:25:00Z,2025-04-10T13:45:00Z
ECB 2025-04-17,2025-04-17T12:40:00Z,2025-04-17T13:10:00Z
FOMC 2025-05-07,2025-05-07T18:55:00Z,2025-05-07T19:15:00Z
NFP 2025-05-02,2025-05-02T13:25:00Z,2025-05-02T13:45:00Z
CPI 2025-05-13,2025-05-13T13:25:00Z,2025-05-13T13:45:00Z
NFP 2025-06-06,2025-06-06T13:25:00Z,2025-06-06T13:45:00Z
ECB 2025-06-05,2025-06-05T12:40:00Z,2025-06-05T13:10:00Z
FOMC 2025-06-18,2025-06-18T18:55:00Z,2025-06-18T19:15:00Z
CPI 2025-06-11,2025-06-11T13:25:00Z,2025-06-11T13:45:00Z
NFP 2025-07-03,2025-07-03T13:25:00Z,2025-07-03T13:45:00Z
ECB 2025-07-24,2025-07-24T12:40:00Z,2025-07-24T13:10:00Z
FOMC 2025-07-30,2025-07-30T18:55:00Z,2025-07-30T19:15:00Z
CPI 2025-07-15,2025-07-15T13:25:00Z,2025-07-15T13:45:00Z
NFP 2025-08-01,2025-08-01T13:25:00Z,2025-08-01T13:45:00Z
CPI 2025-08-12,2025-08-12T13:25:00Z,2025-08-12T13:45:00Z
NFP 2025-09-05,2025-09-05T13:25:00Z,2025-09-05T13:45:00Z
ECB 2025-09-11,2025-09-11T12:40:00Z,2025-09-11T13:10:00Z
FOMC 2025-09-17,2025-09-17T18:55:00Z,2025-09-17T19:15:00Z
CPI 2025-09-11,2025-09-11T13:25:00Z,2025-09-11T13:45:00Z
NFP 2025-10-03,2025-10-03T13:25:00Z,2025-10-03T13:45:00Z
CPI 2025-10-15,2025-10-15T13:25:00Z,2025-10-15T13:45:00Z
ECB 2025-10-30,2025-10-30T13:40:00Z,2025-10-30T14:10:00Z
FOMC 2025-10-29,2025-10-29T18:55:00Z,2025-10-29T19:15:00Z
NFP 2025-11-07,2025-11-07T13:25:00Z,2025-11-07T13:45:00Z
CPI 2025-11-13,2025-11-13T13:25:00Z,2025-11-13T13:45:00Z
NFP 2025-12-05,2025-12-05T13:25:00Z,2025-12-05T13:45:00Z
FOMC 2025-12-10,2025-12-10T18:55:00Z,2025-12-10T19:15:00Z
ECB 2025-12-11,2025-12-11T13:40:00Z,2025-12-11T14:10:00Z
CPI 2025-12-10,2025-12-10T13:25:00Z,2025-12-10T13:45:00Z
NFP 2026-01-09,2026-01-09T13:25:00Z,2026-01-09T13:45:00Z
FOMC 2026-01-28,2026-01-28T18:55:00Z,2026-01-28T19:15:00Z
CPI 2026-01-14,2026-01-14T13:25:00Z,2026-01-14T13:45:00Z
NFP 2026-02-06,2026-02-06T13:25:00Z,2026-02-06T13:45:00Z
CPI 2026-02-11,2026-02-11T13:25:00Z,2026-02-11T13:45:00Z
NFP 2026-03-06,2026-03-06T13:25:00Z,2026-03-06T13:45:00Z
ECB 2026-03-05,2026-03-05T12:40:00Z,2026-03-05T13:10:00Z
FOMC 2026-03-18,2026-03-18T18:55:00Z,2026-03-18T19:15:00Z
CPI 2026-03-11,2026-03-11T13:25:00Z,2026-03-11T13:45:00Z
NFP 2026-04-03,2026-04-03T13:25:00Z,2026-04-03T13:45:00Z
CPI 2026-04-15,2026-04-15T13:25:00Z,2026-04-15T13:45:00Z
